,comment_text,comment_party,comment_name,interrupted_speaker_party,interrupted_speaker,date,speech_id,preceding_context,sentiment
593,Das ist zynisch!,SPD,Gerd Andres,CDU/CSU,Dr. Andreas Schockenhoff,1996-03-15,28748,"n Sozialdemokraten,  die vorgestern die angeblich so unsolide Haushaltspolitik von Finanzminister Waigel kritisiert haben,  von demselben Finanzminister zusätzliche Ausgaben. Er soll ein europäisches Beschäftigungsprogramm sponsern,  (Heidemarie Wieczorek-Zeul [SPD]: Wo  steht das denn im Antrag? - ",1
594,Mit Demokratie und Toleranz haben Sie auch nichts am Hut! Das ist schon klar!,SPD,Timon Gremmels,AfD,Stephan Brandner,2019-05-08,157990,"ahmen zur Stärkung von Vielfalt, Toleranz und Demokratie in Ihrem Haushalt. Ich persönlich – ich denke mal, große Teile der AfD-Fraktion werden da mit mir einer Meinung sein – hätte gar nichts dagegen, wenn diese Mittel sich blitzartig Richtung null bewegen würden. Aber es ist nun mal, wie es ist. (",1
595,Unglaublich!,DIE LINKE,Dr. Gesine Lötzsch,DIE LINKE,Dr. Achim Kessler,2019-11-28,162700,"r brauchen sektorübergreifende öffentliche oder gemeinnützige Gesundheitszentren, in denen Gesundheits- und auch soziale Berufe zusammenarbeiten. Aber statt den Gemeinden und Kreisen zu helfen, schauen Sie tatenlos zu, wie Arztpraxis um Arztpraxis von Private-Equity-Heuschrecken aufgekauft werden. (",1
596,Und wenn Irland noch einmal Nein sagt?,FDP,Dr. Helmut Haussmann,GRÜNE,Joseph Fischer,2001-06-21,53582,"h habe vorhin schon angesprochen, wie wichtig es ist, dass der Vertrag von Nizza im Hinblick auf den 2004-Prozess ratifiziert wird. Auch wenn dies nicht Bestandteil des zu ratifizierenden Vertrages, sondern in den Schlussfolgerungen von Nizza enthalten ist, gehört es dennoch substanziell zusammen. (",0
597,Er hat sich  inzwischen eines Besseren belehren lassen!,CDU/CSU,von Stetten,SPD,Dr. Gerald Thalheim,1996-11-08,32069,"rdnete Kriedner ist so weit gegangen,  den Gesetzentwurf der Bundesregierung, der immerhin mit der Unterschrift Ihres Fraktionsvorsitzenden  versehen ist, als eine Art Arbeitspapier zu bezeichnen, das versehentlich in die Öffentlichkeit gelangt  ist.  (Heiterkeit bei der SPD - Dr. Wolfgang Freiherr ",2
598,Das hat doch gar  keiner gesagt!,SPD,Gerlinde Hämmerle,CDU/CSU,Hannelore Rönsch,1992-10-16,8496,"en  können. Das sollten wir jedoch unter gar keinen  Umständen tun.  Diese Worte und Begriffe überzeichnen die Probleme. Ich denke, daß wir gerade der jungen Generation Mut machen müssen, mit der älteren Generation zusammenzuarbeiten, mit ihr zu kommunizieren  und sie nicht als Last zu verstehen.  (",1
599,Das machen Sie!,AfD,<unknown>,SPD,Helge Lindh,2023-03-03,190660,"und Sie sind auch nicht Vorkämpfer für die Lage von Menschen in Armut – im Gegenteil! (Widerspruch bei der AfD) Nur aus dem Grunde, dass sich das für das Flüchtlingsthema nutzbar machen lässt, interessieren Sie sich dafür. Wir sagen an dieser Stelle immer: Sie spielen die Gruppen gegeneinander aus. ",0
600,Recht hat er!,GRÜNE,Britta Haßelmann,CDU/CSU,Rüdiger Kruse,2011-09-21,108169,"Herr Präsident! Meine sehr geehrten Damen und Herren! Lieber Manuel Sarrazin, das war zumindest eine engagierte Rede, aber zielführend in Sachen Europa war sie nicht. (",2
601,Da könnt ihr auch mal klatschen!,SPD,Susanne Kastner,CDU/CSU,Dirk Fischer,2002-05-15,57621,"mitteilen kann.  Ich glaube, wir sind alle – das gilt für das gesamte Haus und für alle Parteien – der Meinung, dass wir die Entwicklung der Verkehrsinfrastruktur in den neuen Bundesländern fördern müssen, weil dies etwas mit der Prosperität der neuen Bundesländer zu tun hat. (Beifall bei der SPD – ",2
602,Jetzt auf einmal! Kommt noch mehr? Das ist nur der Anfang!,FDP,Oliver Luksic,SPD,Dr. Martin Rosemann,2019-11-14,162227,n wir am allerwenigsten zu tun. (Beifall bei der SPD – Dr. Dirk Spaniel [AfD]: Nicht ablenken! – Oliver Luksic [FDP]: Reden Sie mal mit der IG Metall!) Also: Wir haben tatsächlich eine ganze Menge von Herausforderungen. Wir sehen das bereits. Auch bei den Zulieferern hat die Kurzarbeit zugenommen. (,1
603,Wer fordert das denn  nicht?,FDP,Ulrike Flach,GRÜNE,Wolfgang Müller,2000-02-17,46683, die vorhandenen Kräfte stärker bündeln und die Kommunikationswege noch stärker vernetzen würde.   (Hans-Michael Goldmann [FDP]: Das ist ja  richtungsweisend! Großartig!)  Dies haben im November 1998 die Umweltminister der  Länder auf Initiative Schleswig-Holsteins gegenüber  dem Bund gefordert.   (,1
604,Wer hat 2015 die Grenzen aufgeschlossen?,AfD,Bernd Schattner,CDU/CSU,de Vries,2023-03-29,191291,"desinnenministerin weder Maßnahmen, um die illegale Migration nach Deutschland zu unterbinden, noch nimmt sie Maßnahmen in Angriff, um die Rückführung ausreisepflichtiger Ausländer konsequent und wirksam durchzusetzen. So darf es nicht weitergehen, meine Damen und Herren. (Beifall bei der CDU/CSU – ",1
605,Das ist ja unglaublich!,AfD,Dr. Christina Baum,SPD,Heike Engelhardt,2023-05-25,193335,"len! – Martin Sichert [AfD]: Sie wissen es ja selber nicht, weil Sie keine Studien dazu haben! Das ist ja das Lustige!) Es ist doch so: Eine viel zu große Anzahl an Menschen hat sich leider aufgrund Ihrer Fehlinformationen und Hetze gegen die Impfung entschieden, und viele sind deswegen gestorben. (",1
606,Bleiben Sie doch ein bisschen sachlicher!,SPD,<unknown>,CDU/CSU,Wolfgang Meckelburg,2000-09-14,48970,"ition noch weit entfernt.  Wenn ich als Obmann heute eine Schlussbilanz für die erste Halbzeit ziehe, so bleibt festzuhalten, Herr Ostertag: Hektik, Durcheinander, Verunsicherung bei den Rentnern. Sie treffen Ihre bisherigen Stammwähler und Wähler der Neuen Mitte sicherlich alle an den Zapfsäulen.  ",0
607,Gar nichts!,FDP,Dr. Wolfgang Gerhardt,FDP,Dr. Günter Rexrodt,1999-11-23,45459,"dnung! Aber genau die Steuerzahler, die Sie entlasten wollen, kassieren Sie wieder mit dem ab, was Sie Ökosteuer nennen. (Beifall bei der FDP und der CDU/CSU) In Wirklichkeit ist sie eine fiskalisch notwendige Verbrauchsteuererhöhung. Sie hat nichts mit Umweltschutz und nichts mit Ökologie zu tun. (",1
608,"Herr Metzger wurde auch immer schlauer, je weniger er zu sagen hatte!",CDU/CSU,Steffen Kampeter,GRÜNE,Anja Hajduk,2006-11-21,78230,". Deswegen muss in der Tat etwas Neues her. (Beifall beim GRÜNE – Steffen Kampeter [CDU/CSU]: Eine Erkenntnis in der Oppositionszeit!) Wir haben Ihnen in dieser Woche eine Alternative vorgelegt, die noch gesetzlich ausgearbeitet werden muss. Ich weiß, dass in Ihren Reihen darüber diskutiert wird.  (",1
609,"Nein, das tun wir  nicht!",FDP,Ulrich Heinrich,CDU/CSU,Ilse Falk,1997-04-17,34752," auf  der anderen Seite die Steuerpflicht auferlegen, die  dann auch noch mit der Wertfreiheit des Steuerrechts  begründet wird.  Es ist jetzt nicht die rechte Zeit, sich mit den moralischen Aspekten der Prostitution zu befassen und  die Tätigkeit von Prostituierten einer Wertung zu  unterziehen.  (",1
610,Das war die letzte Debatte!,CDU/CSU,Michael Donth,SPD,Kevin Kühnert,2023-02-09,189991,"tsausbaus, aber eben auch der Bezahlbarkeit gefahren wurde. Das ist der richtige Weg, meine Damen und Herren. (Beifall bei der SPD – Alexander Dobrindt [CDU/CSU]: Wie war das jetzt noch mal mit der A 100, über die Sie reden wollen?) Es geht in Berlin jetzt konsequent weiter mit dem 29‑Euro-Ticket. (",0
611,Ist schon wieder Fake!,DIE LINKE,Harald Weinberg,AfD,Viktor Podolay,2021-04-14,175742,"Damen und Herren! Seit über einem Jahr beschäftigen wir uns im Bundestag leider mit irrationalen Politikmaßnahmen, Aktionismus, Maskenkorruption und einem Virus mit einer Infektionssterblichkeit von 0,15 Prozent. Das heißt, von 100 Infizierten überleben 99,85 Menschen. Das soll eine Pandemie sein? (",1
612,"Stellen Sie sich einmal vor: Es ist gestattet, als Politiker Dinge nachzulesen! Vielleicht sollten Sie das auch einmal machen!",GRÜNE,Dr. Anton Hofreiter,CDU/CSU,Andreas G. Lämmel,2016-09-08,139732,"perten anhören sollen. (Dr. Michael Fuchs [CDU/CSU]: Das wollen die doch nicht! – Dr. Anton Hofreiter [GRÜNE]: Man kann auch Meinungen nachlesen!) Denken Sie doch einmal darüber nach, ob es sein kann, dass Ihr Standpunkt, den Sie einnehmen, fachlich nicht untermauert ist. (Beifall bei der CDU/CSU – ",1
613,Sie machen leider nie eine andere Politik!,SPD,Elke Ferner,CDU/CSU,Karin Maag,2010-07-07,100222,"s Thema!) zum Sturm auf die Regierung geblasen haben. Liebe Frau Ferner, liebe Frau Rawert (Zuruf von der CDU/CSU) – Frau Ferner ist wieder da –,  (Heinz Lanfermann [FDP]: Ja, ist wieder da!) ich habe erwartet, dass Sie nicht dieselben Reden hervorziehen, die Sie seit einem Dreivierteljahr halten, (",1
614,Noch ist er nicht Präsident!,GRÜNE,Özcan Mutlu,GRÜNE,Renate Künast,2015-11-13,135099,"rindel [CDU/CSU]: Ich hoffe, das wird sich auch bald wieder ändern!) – Ich glaube auch; wahrscheinlich ändert es sich jetzt gleich. – Ich weiß gar nicht, ob er sich als Mitglied des Sportausschusses oder des Rechtsausschusses, als Präsidiumsmitglied des DFB oder als etwas Zukünftiges geäußert hat, (",0
615,"Ist das eine Frage,  oder ist das ein Vortrag?",FDP,<unknown>,SPD,Leyla Onur,1997-01-16,33315,"lege Schemken. Ihre Ausführungen  veranlassen mich, Sie noch einmal zu fragen, ob Sie  es denn immer noch nicht verstanden haben. Ich  habe mir im Ausschuß die Mühe gemacht, es Ihnen  sehr genau zu erläutern, und eben dachte ich auch,  noch einmal klar und deutlich gesagt zu haben,  worum es geht.  ",1
616,Das hört man jetzt von hier bis nach Bayern!,GRÜNE,Manuel Sarrazin,CDU/CSU,Karl Holmeier,2012-03-09,112555,Sehr verehrte Frau Präsidentin! Verehrte Kolleginnen und Kollegen! Meine sehr verehrten Damen und Herren! (,1
617,"Und 40 Milliarden Deckungslücke zu machen! Stellen Sie sich vor, das wäre in Kraft!",SPD,von Larcher,CDU/CSU,Norbert Barthle,1999-01-22,41466,"das tun: Nehmen Sie die Ergebnisse der mehrtägigen Anhörung ernst, auf der über Ihr Reformkonzept ein vernichtendes Urteil gesprochen wurde! Gehen Sie daran, die Grundanliegen der Petersberger Beschlüsse nochmals nachzulesen, nämlich niedrigere Steuersätze und eine Nettoentlastung für alle! (Detlev ",1
618,Meine Herren!,SPD,Dirk Manzewski,DIE LINKE,Wolfgang Neskovic,2005-11-30,72846,"it hoffen. (Beifall bei der LINKEN – Dr. Jürgen Gehb [CDU/CSU]: Die vom Neuen Deutschland konnten bei der Pressefreiheit noch lauter klatschen! – Wolfgang Wieland [GRÜNE]: Spätestens dann tritt er auch aus der Linkspartei aus!) Voltaire hat einmal gesagt, das Vorurteil sei die Vernunft der Narren. (",0
619,Wie viele Einwohner hat die Gemeinde?,CDU/CSU,Rita Pawelski,FDP,Uwe Barth,2009-03-04,92184,"e den Namen jetzt nicht sagen, weil ich dem Bürgermeister nicht Unrecht tun will; er kann ja nichts dafür –, die aus dem Konjunkturpaket II 2 719 Euro bekommt. Mit dem Eigenanteil von 680 Euro sind es rund 3 400 Euro. Davon fließen 65 Prozent in die Bildung. Dann bleiben ungefähr 1 000 Euro übrig. (",0
620,Was war jetzt Ihr Vorschlag? Keiner! Null!,SPD,Dr. Johannes Fechner,fraktionslos,Joana Cotar,2024-03-15,201370,"ruf von der SPD: Aha!) Die Vorschläge liegen seit Jahren auf dem Tisch. Man muss es nur wollen. Und das ist das Problem: Die Ampel gegen die Bürger! Sie wollen nicht. Aber das Schöne ist: Nächstes Jahr, bei den Wahlen, werden die Bürger gewinnen. Herzlichen Dank. (Beifall bei Abgeordneten der AfD – ",1
621,Das ist eine reine Unterstellung!,CDU/CSU,Albert Deß,SPD,Ludwig Stiegler,2002-01-31,56118,"Regierung säße, an der die PDS beteiligt ist.  (Albert Deß [CDU/CSU]: Das ist aber ein schlechter Vergleich!) Ich stelle mir einmal plastisch vor, wie Sie sich aufregen und aufblasen würden. Da würden alle Glocken zusammen läuten.  (Beifall bei der SPD sowie bei Abgeordneten des GRÜNE und der PDS – ",1
622,Deswegen sind wir jetzt dran!,SPD,von Larcher,FDP,Carl-Ludwig Thiele,1998-12-03,40998, der nächste Betrug an der Wirtschaft und an den Wählern in unserem Lande vorbereitet. (Beifall bei der FDP und der CDU/CSU) Vizepräsidentin Dr. Antje Vollmer Eine Bundesregierung muß Kompetenz in Wirtschafts- und Finanzfragen haben. (Rudolf Bindig [SPD]: Deshalb sind Sie abgewählt worden! – Detlev ,0
623,Das stimmt doch nicht!,CDU/CSU,Hans Michelbach,SPD,Georg Wagner,1999-06-24,43660, auf 3 000 DM. Hierzu waren Sie nie fähig; Sie wollten es ja auch gar nicht tun. (Beifall bei der SPD – Dr. Hermann Kues [CDU/CSU]: Wieviel müssen denn die Rentner zahlen?) Die mittelständische Wirtschaft haben wir durch das Steuerentlastungsgesetz 1999/2000/2002 um rund 5 Milliarden DM entlastet. (,1
624,8 Euro sind  gut! Das ist ein Anfang!,DIE LINKE,Bodo Ramelow,CDU/CSU,Max Straubinger,2006-03-09,74257,"erungspflich- Max Straubingertige Beschäftigungsverhältnisse. Die erfolgreiche Bekämpfung der Arbeitslosigkeit ist die Grundlage dafür, dass die Löhne und Gehälter in Deutschland wieder steigen.  Wir dürfen nicht der Forderung der Linken folgen, für Mindestlöhne in Höhe von 8 oder 9 Euro zu sorgen (",2
625,Das  stimmt ja auch!,CDU/CSU,Michael Kretschmer,GRÜNE,Grietje Bettin,2003-09-25,62829,"n Konzernen zumindest Lehrstellen in anderen Betrieben finanzieren. Sie können sich dann nicht mehr so billig ihrer Ausbildungspflicht entziehen. Frau Kollegin Wöhrl, Sie behaupten, allein die wirtschaftliche Lage sei daran schuld, dass sich die Wirtschaft die Ausbildung nicht mehr leisten könne.  (",2
626,"Aber von uns, nicht von anderen! Unglaublich, dieser Koalitionspartner!",SPD,Dr. Dieter Wiefelspütz,GRÜNE,Volker Beck,2003-03-18,60741,"r stärken die Rechte der Parlamentarier und geben doch nicht Befugnisse ab! Wo kämen wir denn dahin? Nehmen Sie bitte Ihre Arbeit ernst!) – Das ist übrigens eine sozialdemokratische Idee, Herr Wiefelspütz. Wir können gerne darüber diskutieren, wie wir die parlamentarische Kontrolle stärken können. (",1
627,„Regieren“ nennst du das?,SPD,Joachim Poß,SPD,Lothar Binding,2012-09-11,115223,"e Lösung versteckt? Wir suchen immer  noch nach einer Lösung, die die Kanzlerin präsentiert.  Aber wir finden nichts. Wir merken auch, dass das die  Menschen im Land allmählich nervös macht; denn  Schwarz-Gelb regiert jetzt schon drei Jahre. (Christian Lange [Backnang] [SPD]: Drei  Jahre zu viel! – ",1
628,"Aber das Ganze erfolgt bei den Ermittlungsbehörden, nicht bei den Gerichten!",GRÜNE,Hans-Christian Ströbele,SPD,Joachim Stünker,2009-05-28,94096,"Kronzeugenregelung auf ganz wenige, wirklich schwerwiegende Fälle beschränkt. Dies wird also nicht die allgemeine Praxis im Strafprozess in Deutschland sein. An dieser Stelle haben wir also eine rechtsstaatliche Regelung mit hoher Hürde getroffen. (Beifall bei Abgeordneten der SPD und der CDU/CSU – ",0
629,Was? Vitamin D?,SPD,Dagmar Freitag,AfD,Jörn König,2021-04-15,175933,"ere eigenen AfD-Anträge zum Themenbereich „Öffnen der Fitnessstudios und des Vereinssports“ sind in Coronazeiten notwendiger denn je. Sport ist Teil der Lösung und stärkt das Immunsystem, dazu weitere Prophylaxe wie Vitamin D im Winterhalbjahr, und wir können gestärkt die Covid-Krankheit besiegen. (",0
630,Hätten Sie früher machen können!,CDU/CSU,Bernhard Loos,GRÜNE,Katharina Dröge,2022-12-01,188234,"tion leiten ein neues Kapitel in der Handelspolitik ein – ein Kapitel, das Klimaschutz und Nachhaltigkeit endlich in den Mittelpunkt der Handelspolitik stellt und nicht, wie es in der Vergangenheit passiert ist, als Anhang betrachtet. (Beifall beim GRÜNE sowie bei Abgeordneten der SPD und der FDP – ",0
631,Genau!,SPD,Dunja Kreiser,SPD,Sebastian Fiedler,2023-12-01,198985,"nproblematisch, (Moritz Oppelt [CDU/CSU]: Nein, das tut keiner! Hat niemand gesagt! – Dunja Kreiser [SPD]: Doch!) dann streuen Sie den Leuten wirklich Sand in die Augen. Wir geben Peter Thiel, der noch immer Anteile an diesem Unternehmen hält, der Donald Trump mit 1 Million Dollar unterstützt hat, (",2
632,Nach Ihrem Modell  hätten sie ja wohl gar nichts!,SPD,Peter Dreßen,CDU/CSU,Wolfgang Meckelburg,2002-02-21,56318,"werben kann – Sie wissen doch, (Klaus Brandner [SPD]: Schade, dass Blüm nicht mehr hier ist! – Erika Lotz [SPD]: Sagen Sie doch mal was zur Sozialversicherung!) dass man ungefähr 150 Jahre arbeiten muss, um aus diesen Beiträgen eine Rente zu bekommen, die noch unter dem Sozialhilfeniveau liegt –,  (",1
633,Potenziale des Alters!,GRÜNE,Irmingard Schewe-Gerigk,CDU/CSU,Walter Link,2005-01-28,70285,"ilt die Forschungsergebnisse mit der praktischen Arbeit besser zu vernetzen.  Für meine Fraktion, die CDU/CSU, schlage ich deshalb vor, dass wir im Fünften Altenbericht das Thema „Alter und Kompetenz“, Frau Bundesministerin, stärker herausstellen  (Beifall bei der CDU/CSU – Heiterkeit bei der SPD – ",0
634,So ist es!,CDU/CSU,<unknown>,FDP,Jürgen W. Möllemann,1991-09-05,2226,aier [SPD]: Alibi! — Hel mut Wieczorek [Duisburg] [SPD]: Rede doch  nicht so einen Stuß!)  Weitere Belastungen dürfen nicht im Rahmen allgemeiner Steuererhöhungen hinzukommen. Unsere  Wirtschaft muß ohnehin die höchsten Lohnzusatzkosten der Welt und hohe ertragsunabhängige Steuerlasten verkraften.  ,2
635,Sie wollen es  nicht sehen!,CDU/CSU,Heinz Seiffert,SPD,Horst Schild,2005-04-21,71681, um sie bei nächster Gelegenheit wieder streichen zu können? Ich sehe in der Politik der Union zur Vermögensbildung der Arbeitnehmer keine Kontinuität. (Beifall bei Abgeordneten der SPD) Lassen Sie mich noch ein paar Sätze zum Thema Altersvorsorge sagen – auch hier haben Sie nichts dazugelernt –:  (,1
636,Wie bitte?,GRÜNE,Winfried Nachtwei,fraktionslos,Dr. Gesine Lötzsch,2004-09-23,67847,"cht!) Es gibt auch eine Mehrheit in der Bevölkerung, die keine Auslandseinsätze der Bundeswehr will, sondern Konfliktprävention und verstärkte Bekämpfung der Ursachen von Terror und Gewalt. Die Bundesregierung regt diese Diskussion nicht an. Sie verweigert sich dieser Diskussion sogar hartnäckig.  (",1
637,Genau das ist der  Punkt!,FDP,<unknown>,CDU/CSU,Heinrich Seesing,1991-09-25,2698," Wenn man jedoch weiß, daß Bulgarien  35,9 % seines Stromes aus diesem Kernkraftwerk be-  Deutscher Bundestag — 12. Wahlpe riode — 43. Sitzung. Bonn, Mittwoch, den 25. September 1991 	3595  Heinrich Seesing  zieht, dann muß man unter Umständen — das macht  mir eben Sorge — andere Maßstäbe anlegen.  ",0
638,Wer ist denn hier der Spalter?,FDP,Graf Lambsdorff,AfD,Jürgen Pohl,2019-05-10,158329,"der konnte keine Betriebsrente kriegen, und der konnte keine betriebliche oder private Altersvorsorge treffen. (Markus Kurth [GRÜNE]: Hören Sie doch auf mit Ihrem Opfermythos! Sie Spalter!) – Ich weiß das besser als Sie: Ich bin Ostdeutscher, Sie sind Westdeutscher. (Beifall bei der AfD – Alexander ",0
639,Satire!,CDU/CSU,Julia Klöckner,GRÜNE,Dr. Sandra Detzer,2022-09-23,185708,"d Kollegen! Der Hashtag #DankeHabeck trendet in diesen Tagen auf Twitter. (Beifall beim GRÜNE – Lachen bei Abgeordneten der CDU/CSU und der AfD – Julia Klöckner [CDU/CSU]: Ganz bestimmt!) Und das ist auch völlig klar. Denn da ist endlich ein Wirtschaftsminister, der anpackt, statt nur auszusitzen, (",1
640,Jetzt  kommt's!,CDU/CSU,Dr. Albert Probst,SPD,Wolfgang Roth,1992-02-13,5206,"rung, weil  die Betriebe, die existiert haben, mit dem weltweiten  Wettbewerb nicht zurechtkommen. Ich werde zu  diesem Thema am Ende meiner Ausführungen noch  ein paar Bemerkungen machen. Lassen Sie mich  zuerst ein paar eher langfristige, strategische Aufgaben der Wirtschaftspolitik ansprechen:  (",0
